Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
527,GPPL,GUJARAT PIPAVAV PORT LIMITED,1012894.0910527699
528,BIRLACORPN,BIRLA CORPORATION LIMITED,1007904.6522765991
529,SAREGAMA,SAREGAMA INDIA LIMITED,1005652.9835207142
530,DBREALTY,VALOR ESTATE LIMITED,1004994.8131933135
531,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED,1003751.5636639562
532,ARVIND,ARVIND LIMITED,1003305.2814230878
533,THOMASCOOK,THOMAS COOK  (INDIA)  LIMITED,1002252.1829442972
534,SFL,SHEELA FOAM LIMITED,1002164.8977166751
535,RELINFRA,RELIANCE INFRASTRUCTURE LIMITED,1000867.8790314997
536,LATENTVIEW,LATENT VIEW ANALYTICS LIMITED,998084.3380479845
537,EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED,995981.4583992105
538,HOMEFIRST,HOME FIRST FINANCE COMPANY INDIA LIMITED,983643.4099811473
539,PNGJL,P N GADGIL JEWELLERS LIMITED,982219.2174947913
540,FORCEMOT,FORCE MOTORS LIMITED,981744.897329349
541,JUSTDIAL,JUST DIAL LIMITED,981396.2381935955
542,ROUTE,ROUTE MOBILE LIMITED,981294.1393026862
543,HGINFRA,H.G. INFRA ENGINEERING LIMITED,980673.930470893
544,IONEXCHANG,ION EXCHANGE (INDIA) LIMITED,977730.7365121825
545,RENUKA,SHREE RENUKA SUGARS LIMITED,971378.53984848
546,VIJAYA,VIJAYA DIAGNOSTIC CENTRE LIMITED,970950.9168464047
547,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,960286.5102806347
548,JKLAKSHMI,JK LAKSHMI CEMENT LIMITED,955106.9132101979
549,AZAD,AZAD ENGINEERING LIMITED,952730.1747316507
550,ESABINDIA,ESAB INDIA LIMITED,950453.1981645238
551,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,949825.1580099125
552,TIPSMUSIC,TIPS MUSIC LIMITED,947863.1725703175
553,WABAG,VA TECH WABAG LIMITED,942799.0161671271
554,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LIMITED,941753.7828279686
555,KNRCON,KNR CONSTRUCTIONS LIMITED,941159.4009722223
556,IIFLCAPS,IIFL CAPITAL SERVICES LIMITED,940501.5974057222
557,ABDL,ALLIED BLENDERS AND DISTILLERS LIMITED,939107.8116922439
558,POWERMECH,POWER MECH PROJECTS LIMITED,930757.4777621983
559,CHOICEIN,CHOICE INTERNATIONAL LIMITED,930141.7685912699
560,KIRLPNU,KIRLOSKAR PNEUMATIC COMPANY LIMITED,928525.0330943255
561,AURIONPRO,AURIONPRO SOLUTIONS LIMITED,927459.348835238
562,CCL,CCL PRODUCTS (INDIA) LIMITED,926665.757813016
563,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,923892.2410507936
564,SBFC,SBFC FINANCE LIMITED,922293.1941035714
565,PRSMJOHNSN,PRISM JOHNSON LIMITED,915903.2385851585
566,JLHL,JUPITER LIFE LINE HOSPITALS LIMITED,915562.8904775319
567,TEXRAIL,TEXMACO RAIL & ENGINEERING LIMITED,914844.4802008574
568,CAMPUS,CAMPUS ACTIVEWEAR LIMITED,914318.0826880002
569,ITDCEM,ITD CEMENTATION INDIA LIMITED,913205.754124968
570,SHRIPISTON,SHRIRAM PISTONS & RINGS LIMITED,912257.3465662223
571,TIMETECHNO,TIME TECHNOPLAST LIMITED,907170.5323005156
572,SENCO,SENCO GOLD LIMITED,899686.7923004759
573,MASTEK,MASTEK LIMITED,891262.7563712735
574,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,889653.1129229876
575,BBOX,BLACK BOX LIMITED,885218.1727585715
576,RATEGAIN,RATEGAIN TRAVEL TECHNOLOGIES LIMITED,883164.1856225791
577,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,882742.5284288493
578,CMSINFO,CMS INFO SYSTEMS LIMITED,880654.434884278
579,RUSTOMJEE,KEYSTONE REALTORS LIMITED,879887.8854304405
580,MAXESTATES,MAX ESTATES LIMITED,879246.921537885
581,VARROC,VARROC ENGINEERING LIMITED,878245.9356666667
582,PGHL,PROCTER & GAMBLE HEALTH LIMITED,874892.6266898889
583,MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED,871603.4520646188
584,HEG,HEG LIMITED,871427.2538101111
585,RELIGARE,RELIGARE ENTERPRISES LIMITED,870716.5573739844
586,AVANTIFEED,AVANTI FEEDS LIMITED,865624.1750879763
587,ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED,864852.793475742
588,EQUITASBNK,EQUITAS SMALL FINANCE BANK LIMITED,864550.0696384169
589,SYRMA,SYRMA SGS TECHNOLOGY LIMITED,859727.4925573932
590,STARCEMENT,STAR CEMENT LIMITED,858528.5663852221
591,BLUEJET,BLUE JET HEALTHCARE LIMITED,858442.528807619
592,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,850712.5638428573
593,GRWRHITECH,GARWARE HI-TECH FILMS LIMITED,850654.0872598336
594,SANSERA,SANSERA ENGINEERING LIMITED,847885.5558119165
595,FDC,FDC LIMITED,847427.7793635553
596,JUNIPER,JUNIPER HOTELS LIMITED,845132.0412715402
597,MEDPLUS,MEDPLUS HEALTH SERVICES LIMITED,845060.5393146353
598,GALLANTT,GALLANTT ISPAT LIMITED,838673.4155386706
599,KTKBANK,THE KARNATAKA BANK LIMITED,834689.1523283493
600,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LIMITED,832636.5177966902
601,TCI,TRANSPORT CORPORATION OF INDIA LIMITED,832356.8388495833
602,TVSSCS,TVS SUPPLY CHAIN SOLUTIONS LIMITED,831833.7556304802
603,GANESHHOUC,GANESH HOUSING CORPORATION LIMITED,831731.9761333333
604,ANURAS,ANUPAM RASAYAN INDIA LIMITED,825948.3388142345
605,GMRP&UI,GMR POWER AND URBAN INFRA LIMITED,821507.3415830836
606,SUNTECK,SUNTECK REALTY LIMITED,818185.4683559523
607,EMBDL,EQUINOX INDIA DEVELOPMENTS LIMITED,815702.5891247895
608,RTNPOWER,RATTANINDIA POWER LIMITED,811708.548694127
609,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED,809157.8843079682
610,RAJESHEXPO,RAJESH EXPORTS LIMITED,809093.601315417
611,GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED,808010.979201262
612,EPIGRAL,EPIGRAL LIMITED,807638.5028228096
613,JKPAPER,JK PAPER LIMITED,806776.6466054448
614,SHOPERSTOP,SHOPPERS STOP LIMITED,806259.6162807258
615,INFIBEAM,INFIBEAM AVENUES LIMITED,803333.316750119
616,EPL,EPL LIMITED,802350.0129927818
617,MOIL,MOIL LIMITED,800258.0785222462
618,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED,800040.5463394289
619,CHEMPLASTS,CHEMPLAST SANMAR LIMITED,798733.177549254
620,SANDUMA,SANDUR MANGANESE & IRON ORES LIMITED,797767.4433188572
621,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED,791746.4400611111
622,EMIL,ELECTRONICS MART INDIA LIMITED,785074.9631624161
623,DIACABS,DIAMOND POWER INFRASTRUCTURE LIMITED,782931.7778480002
624,UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LIMITED,772492.975868286
625,SHILPAMED,SHILPA MEDICARE LIMITED,767002.8078217144
626,INDIASHLTR,INDIA SHELTER FINANCE CORPORATION LIMITED,765251.5178680081
627,PARADEEP,PARADEEP PHOSPHATES LIMITED,765201.1999181389
628,ETHOSLTD,ETHOS LIMITED,757504.079281266
629,ICIL,INDO COUNT INDUSTRIES LIMITED,753263.5294136509
630,VMART,V-MART RETAIL LIMITED,749741.836085825
631,LXCHEM,LAXMI ORGANIC INDUSTRIES LIMITED,749546.3233620555
632,WELENT,WELSPUN ENTERPRISES LIMITED,748513.8721613095
633,HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED,745837.3919747497
634,DBL,DILIP BUILDCON LIMITED,745116.1339610913
635,MIDHANI,MISHRA DHATU NIGAM LIMITED,743933.8307142857
636,PDSL,PDS LIMITED,742818.772915357
637,MANINFRA,MAN INFRACONSTRUCTION LIMITED,742308.1504104683
638,IFBIND,IFB INDUSTRIES LIMITED,740064.0713523017
639,TRANSRAILL,TRANSRAIL LIGHTING LIMITED,738094.8734416667
640,DHANUKA,DHANUKA AGRITECH LIMITED,736478.6144185716
641,TMB,TAMILNAD MERCANTILE BANK LIMITED,732521.8870071111
642,ORCHPHARMA,ORCHID PHARMA LIMITED,730606.6948620833
643,NAZARA,NAZARA TECHNOLOGIES LIMITED,729581.5480666667
644,RESPONIND,RESPONSIVE INDUSTRIES LIMITED,729467.4256443335
645,EMUDHRA,EMUDHRA LIMITED,727012.8484359324
646,ARVINDFASN,ARVIND FASHIONS LIMITED,725349.7638525992
647,DODLA,DODLA DAIRY LIMITED,725104.6398437739
648,SUNDARMHLD,SUNDARAM FINANCE HOLDINGS LIMITED,715591.314619762
649,BALUFORGE,BALU FORGE INDUSTRIES LIMITED,709478.4095988096
650,TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LIMITED,708289.127489528
651,INDIGOPNTS,INDIGO PAINTS LIMITED,707004.799260365
652,SUPRAJIT,SUPRAJIT ENGINEERING LIMITED,706696.8962690475
653,BALAMINES,BALAJI AMINES LIMITED,706693.3251349207
654,GREENLAM,GREENLAM INDUSTRIES LIMITED,706463.4872027616
655,SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED,706303.6776281192
656,JINDWORLD,JINDAL WORLDWIDE LIMITED,700497.3287873017
657,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LIMITED,700204.7890625
658,UNIMECH,UNIMECH AEROSPACE AND MANUFACTURING LIMITED,699917.8522875
659,GABRIEL,GABRIEL INDIA LIMITED,696576.7763576984
660,ASHOKA,ASHOKA BUILDCON LIMITED,694550.0105633491
661,VIPIND,VIP INDUSTRIES LIMITED,692410.5540362381
662,SURYAROSNI,SURYA ROSHNI LIMITED,691388.6507701585
663,BLACKBUCK,ZINKA LOGISTICS SOLUTIONS LIMITED,688734.416140537
664,KRBL,KRBL LIMITED,683164.5724554128
665,GOKEX,GOKALDAS EXPORTS LIMITED,680236.100646996
666,SHARDAMOTR,SHARDA MOTOR INDUSTRIES LIMITED,677774.449109718
667,AMIORG,AMI ORGANICS LIMITED,677121.2182256231
668,NESCO,NESCO LIMITED,674556.5355474603
669,KESORAMIND,KESORAM INDUSTRIES LIMITED,667762.5210996707
670,HNDFDS,HINDUSTAN FOODS LIMITED,665036.0262707184
671,ORIENTCEM,ORIENT CEMENT LIMITED,662481.4056245238
672,SOUTHBANK,THE SOUTH INDIAN BANK LIMITED,655871.6937294563
673,TARC,TARC LIMITED,654345.4422118096
674,BORORENEW,BOROSIL RENEWABLES LIMITED,652980.4005104762
675,TDPOWERSYS,TD POWER SYSTEMS LIMITED,650669.9723758171
676,EASEMYTRIP,EASY TRIP PLANNERS LIMITED,647447.3865594682
677,NIITMTS,NIIT LEARNING SYSTEMS LIMITED,646321.36562275
678,BANSALWIRE,BANSAL WIRE INDUSTRIES LIMITED,641968.8637439663
679,RALLIS,RALLIS INDIA LIMITED,640959.4293147222
680,PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED,638663.9273161348
681,CEIGALL,CEIGALL INDIA LIMITED,636677.4152961063
682,JAICORPLTD,JAI CORP LIMITED,636320.2918872024
683,VSTIND,VST INDUSTRIES LIMITED,629053.0830628572
684,NFL,NATIONAL FERTILIZERS LIMITED,624180.4189771429
685,STLTECH,STERLITE TECHNOLOGIES LIMITED,624110.7260724842
686,ICRA,ICRA LIMITED,621557.2767118213
687,PILANIINVS,PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,621444.3109375397
688,ROLEXRINGS,ROLEX RINGS LIMITED,620957.4457131589
689,AVL,ADITYA VISION LIMITED,619215.2697832433
690,GOCOLORS,GO FASHION (INDIA) LIMITED,618920.238575302
691,UEL,UJAAS ENERGY LIMITED     ,618245.2042424881
692,GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED,614403.838743746
693,LUXIND,LUX INDUSTRIES LIMITED,612237.8260557975
694,PCJEWELLER,PC JEWELLER LIMITED,611415.0848142661
695,GMMPFAUDLR,GMM PFAUDLER LIMITED,609185.0141379681
696,GAEL,GUJARAT AMBUJA EXPORTS LIMITED,608224.9610093017
697,SHAREINDIA,SHARE INDIA SECURITIES LIMITED,607510.3387497222
698,IXIGO,LE TRAVENUES TECHNOLOGY LIMITED,607248.4540504047
699,AGI,AGI GREENPAC LIMITED,607080.4292799606
700,LLOYDSENT,LLOYDS ENTERPRISES LIMITED,601922.9241047257
701,PRINCEPIPE,PRINCE PIPES AND FITTINGS LIMITED,601739.2020840673
702,PRICOLLTD,PRICOL LIMITED,599349.8481313175
703,GHCL,GHCL LIMITED,596708.1082968811
704,ALLCARGO,ALLCARGO LOGISTICS LIMITED,595837.3852310516
705,JKIL,J.KUMAR INFRAPROJECTS LIMITED,595392.0495576666
706,ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,595044.6127214286
707,TI,TILAKNAGAR INDUSTRIES LIMITED,592286.7258756506
708,HCG,HEALTHCARE GLOBAL ENTERPRISES LIMITED,591558.6784572979
709,DBCORP,D.B.CORP LIMITED,590489.3620055753
710,SIS,SIS LIMITED,585477.123520381
711,GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED,582695.6058187379
712,RSYSTEMS,R SYSTEMS INTERNATIONAL LIMITED,581192.4326750793
713,PTC,PTC INDIA LIMITED,579044.6646503095
714,ENTERO,ENTERO HEALTHCARE SOLUTIONS LIMITED,576818.307623238
715,SHARDACROP,SHARDA CROPCHEM LIMITED,576159.179622996
716,INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED,573209.3678367856
717,AARTIPHARM,AARTI PHARMALABS LIMITED,569859.9345741428
718,RAIN,RAIN INDUSTRIES LIMITED,562985.2743277621
719,CSBBANK,CSB BANK LIMITED,562384.5993966509
720,CYIENTDLM,CYIENT DLM LIMITED,561756.7469761111
721,THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,561473.8933499684
722,BANCOINDIA,BANCO PRODUCTS (I) LIMITED,561214.2254583731
723,JSFB,JANA SMALL FINANCE BANK LIMITED,559893.4655759762
724,JCHAC,JOHNSON CONTROLS - HITACHI AIR CONDITIONING INDIA LIMITED,554483.0884483332
725,HEMIPROP,HEMISPHERE PROPERTIES INDIA LIMITED,543682.5119047619
726,MTARTECH,MTAR TECHNOLOGIES LIMITED,540824.0394784362
727,NPST,NETWORK PEOPLE SERVICES TECHNOLOGIES LIMITED,538941.8777142857
728,ORIENTELEC,ORIENT ELECTRIC LIMITED,536187.4881589247
729,MANORAMA,MANORAMA INDUSTRIES LIMITED,532624.4116333333
730,MSTCLTD,MSTC LIMITED,530420.1396825396
731,PAISALO,PAISALO DIGITAL LIMITED,528267.9566351428
732,KIRLOSIND,KIRLOSKAR INDUSTRIES LIMITED,525761.4192631231
733,OPTIEMUS,OPTIEMUS INFRACOM LIMITED,523072.67085446813
734,ANUP,THE ANUP ENGINEERING LIMITED,520931.4143853015
735,EIEL,ENVIRO INFRA ENGINEERS LIMITED,518216.4211363636
736,BBL,BHARAT BIJLEE LIMITED,515549.6563682539
737,DYNAMATECH,DYNAMATIC TECHNOLOGIES LIMITED,511743.3959516826
738,MASFIN,MAS FINANCIAL SERVICES LIMITED,509351.60019460734
739,HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED,509281.1444627105
740,ZAGGLE,ZAGGLE PREPAID OCEAN SERVICES LIMITED,507614.06651164696
741,HERITGFOOD,HERITAGE FOODS LIMITED,506683.098952381
742,VAIBHAVGBL,VAIBHAV GLOBAL LIMITED,506166.54703274206
743,KSCL,KAVERI SEED COMPANY LIMITED,502388.2600999957
744,TEAMLEASE,TEAMLEASE SERVICES LIMITED,501345.32639007934
745,CARTRADE,CARTRADE TECH LIMITED,500150.85535019846
746,RBA,RESTAURANT BRANDS ASIA LIMITED,497387.13082630164
747,NEOGEN,NEOGEN CHEMICALS LIMITED,495565.82242873026
748,SKIPPER,SKIPPER LIMITED,492019.06211706373
749,GANECOS,GANESHA ECOSPHERE LIMITED,491885.08025301597
750,VRLLOG,VRL LOGISTICS LIMITED,491717.78975345235
751,AWFIS,AWFIS SPACE SOLUTIONS LIMITED,491409.0130721707
752,BOROLTD,BOROSIL LIMITED,488117.03799370636
753,GOPAL,GOPAL SNACKS LIMITED,486050.9907392857
754,UTKARSHBNK,UTKARSH SMALL FINANCE BANK LIMITED,485998.9160746666
755,REFEX,REFEX INDUSTRIES LIMITED,485609.4295800516
756,E2E,E2E NETWORKS LIMITED,485122.3097982262
757,WONDERLA,WONDERLA HOLIDAYS LIMITED,484308.23817527766
758,ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LIMITED,482009.03324111114
759,BHARATRAS,BHARAT RASAYAN LIMITED,480492.4199918095
760,SHAILY,SHAILY ENGINEERING PLASTICS LIMITED,480290.24801703973
761,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED,479909.1990980395
762,UNICHEMLAB,UNICHEM LABORATORIES LIMITED,477825.1062609127
763,ORISSAMINE,THE ORISSA MINERALS DEVELOPMENT COMPANY LIMITED,473195.2619047619
764,PATELENG,PATEL ENGINEERING LIMITED,472748.7642741589
765,YATHARTH,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,472447.7998956031
766,HARSHA,HARSHA ENGINEERS INTERNATIONAL LIMITED,472042.72982944443
767,NOCIL,NOCIL LIMITED,472018.92496950395
768,GATEWAY,GATEWAY DISTRIPARKS LIMITED,469055.32312589296
769,ROSSARI,ROSSARI BIOTECH LIMITED,468970.6775573651
770,JAMNAAUTO,JAMNA AUTO INDUSTRIES LIMITED,468198.68518547236
771,SUPRIYA,SUPRIYA LIFESCIENCE LIMITED,467346.05390952376
772,AARTIDRUGS,AARTI DRUGS LIMITED,463534.2252182539
773,WEBELSOLAR,WEBSOL ENERGY SYSTEM LIMITED,458251.39290038915
774,JISLJALEQS,JAIN IRRIGATION SYSTEMS LIMITED,457757.92845679366
775,THYROCARE,THYROCARE TECHNOLOGIES LIMITED,457124.7917086666
776,PITTIENG,PITTI ENGINEERING LIMITED,454428.5343221071
777,PGIL,PEARL GLOBAL INDUSTRIES LIMITED,453567.38823257154
778,RAMKY,RAMKY INFRASTRUCTURE LIMITED,453024.2079565912
779,JTEKTINDIA,JTEKT INDIA LIMITED,452430.7692866903
780,STYRENIX,STYRENIX PERFORMANCE MATERIALS LIMITED,452320.6282515278
781,HIKAL,HIKAL LIMITED,451937.37042265874
782,UFLEX,UFLEX LIMITED,451757.34884412703
783,PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,450994.66647325014
784,GREENPANEL,GREENPANEL INDUSTRIES LIMITED,450319.9111386905
785,SHANTIGEAR,SHANTHI GEARS LIMITED,448646.78989152407
786,SUBROS,SUBROS LIMITED,448633.24229468254
787,BOMDYEING,BOMBAY DYEING & MFG COMPANY LIMITED,448595.27804928576
788,EMSLIMITED,EMS LIMITED,445073.46837566263
789,INNOVACAP,INNOVA CAPTAB LIMITED,444785.52939661505
790,MOBIKWIK,ONE MOBIKWIK SYSTEMS LIMITED,444710.9828622223
791,SUNCLAY,SUNDARAM CLAYTON LIMITED,443701.58744846826
792,JAYNECOIND,JAYASWAL NECO INDUSTRIES LIMITED,443151.26842520246
793,GREENPLY,GREENPLY INDUSTRIES LIMITED,439480.4308473214
794,BALMLAWRIE,BALMER LAWRIE & COMPANY LIMITED,437807.7108972935
795,IMAGICAA,IMAGICAAWORLD ENTERTAINMENT LIMITED,435795.0060348057
796,SEQUENT,SEQUENT SCIENTIFIC LIMITED,434874.16915328964
797,ORIANA,ORIANA POWER LIMITED,432232.42582202377
798,BANARISUG,BANNARI AMMAN SUGARS LIMITED,430248.95005
799,SAMHI,SAMHI HOTELS LIMITED,427574.67153936904
800,FEDFINA,FEDBANK FINANCIAL SERVICES LIMITED,427187.3670769445
801,BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED,425580.37137176195
802,EXICOM,EXICOM TELE-SYSTEMS LIMITED,424941.6878662382
803,GREAVESCOT,GREAVES COTTON LIMITED,424720.6083085201
804,AVALON,AVALON TECHNOLOGIES LIMITED,423933.3738613215
805,LGBBROSLTD,LG BALAKRISHNAN & BROS LIMITED,422826.82804649207
806,MEDIASSIST,MEDI ASSIST HEALTHCARE SERVICES LIMITED,422666.45973587316
807,AVANTEL,AVANTEL LIMITED,417141.99444135244
808,SKYGOLD,SKY GOLD LIMITED,414293.4655041349
809,PFOCUS,PRIME FOCUS LIMITED,414182.00977336516
810,SUNFLAG,SUNFLAG IRON AND STEEL COMPANY LIMITED,412345.81583798013
811,FCL,FINEOTEX CHEMICAL LIMITED,411020.8158266786
812,MOREPENLAB,MOREPEN LABORATORIES LIMITED,410576.41213368246
813,NORTHARC,NORTHERN ARC CAPITAL LIMITED,407918.06587785826
814,VENUSPIPES,VENUS PIPES & TUBES LIMITED,402695.22711936507
815,V2RETAIL,V2 RETAIL LIMITED,402474.02261510707
816,GUFICBIO,GUFIC BIOSCIENCES LIMITED,402392.93939426204
817,JTLIND,JTL INDUSTRIES LIMITED,401178.9218127342
818,FIEMIND,FIEM INDUSTRIES LIMITED,400849.67511714285
819,CIGNITITEC,CIGNITI TECHNOLOGIES LIMITED,400604.6826259842
820,WSTCSTPAPR,WEST COAST PAPER MILLS LIMITED,399430.24693234934
821,IMFA,INDIAN METALS & FERRO ALLOYS LIMITED,398211.919094111
822,TCIEXP,TCI EXPRESS LIMITED,397604.5637012103
823,KKCL,KEWAL KIRAN CLOTHING LIMITED,395299.15098146826
824,KPEL,K.P. ENERGY LIMITED,392653.5096774194
825,JSLL,JEENA SIKHO LIFECARE LIMITED,392006.62029276986
826,GOKULAGRO,GOKUL AGRO RESOURCES LIMITED,390281.10509209137
827,KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,389487.21536098357
828,SOTL,SAVITA OIL TECHNOLOGIES LIMITED,389014.80939968256
829,SULA,SULA VINEYARDS LIMITED,385689.55440669047
830,JNKINDIA,JNK INDIA LIMITED,385444.9951049802
831,DCBBANK,DCB BANK LIMITED,385248.35849408334
832,DCXINDIA,DCX SYSTEMS LIMITED,384734.0229735953
833,VSTTILLERS,V.S.T TILLERS TRACTORS LIMITED,383952.41796139686
834,INDIAGLYCO,INDIA GLYCOLS LIMITED,383844.45907142863
835,KSL,KALYANI STEELS LIMITED,383249.6151
836,DHANI,DHANI SERVICES LIMITED,382485.3649157142
837,KDDL,KDDL LIMITED,381634.358149992
838,SPANDANA,SPANDANA SPHOORTY FINANCIAL LIMITED,380061.79370150797
839,VEEDOL,VEEDOL CORPORATION LIMITED,378384.908
840,SEPC,SEPC LIMITED,377846.49099765474
841,ARTEMISMED,ARTEMIS MEDICARE SERVICES LIMITED,377402.8560505397
842,LUMAXTECH,LUMAX AUTO TECHNOLOGIES LIMITED,376534.53660166665
843,POLYPLEX,POLYPLEX CORPORATION LIMITED,374862.49624576204
844,SWARAJENG,SWARAJ ENGINES LIMITED,373570.2210153968
845,HONDAPOWER,HONDA INDIA POWER PRODUCTS LIMITED,372974.3252652699
846,KINGFA,KINGFA SCIENCE & TECHNOLOGY (INDIA) LIMITED,372747.7830042699
847,LAOPALA,LA OPALA RG LIMITED,372379.0119047619
848,ARVSMART,ARVIND SMARTSPACES LIMITED,371369.5010462142
849,PARKHOTELS,APEEJAY SURRENDRA PARK HOTELS LIMITED,369343.8766957581
850,MUTHOOTMF,MUTHOOT MICROFIN LIMITED,368905.01673374994
851,HGS,HINDUJA GLOBAL SOLUTIONS LIMITED,368578.00280333334
852,STYLAMIND,STYLAM INDUSTRIES LIMITED,366365.20420690475
853,HMT,HMT LIMITED,364661.16189865064
854,MPSLTD,MPS LIMITED,364082.6314320157
855,INDRAMEDCO,INDRAPRASTHA MEDICAL CORPORATION LIMITED,363897.3558706349
856,RPGLIFE,RPG LIFE SCIENCES LIMITED,363584.1236322817
857,SANGHVIMOV,SANGHVI MOVERS LIMITED,362248.41333333333
858,CARRARO,CARRARO INDIA LIMITED,362101.65840649995
859,BEPL,BHANSALI ENGINEERING POLYMERS LIMITED,361812.1548866032
860,JINDALPOLY,JINDAL POLY FILMS LIMITED,361685.50169400393
861,DATAMATICS,DATAMATICS GLOBAL SERVICES LIMITED,360315.7480346389
862,HPL,HPL ELECTRIC & POWER LIMITED,359999.5392252858
863,DALMIASUG,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED,359183.57407262694
864,ALEMBICLTD,ALEMBIC LIMITED,358960.81982900796
865,SCILAL,SHIPPING CORPORATION OF INDIA LAND AND ASSETS LIMITED,358432.70787677786
866,HATHWAY,HATHWAY CABLE & DATACOM LIMITED,357895.4620722222
867,CARERATING,CARE RATINGS LIMITED,354036.5883232898
868,SHK,S H KELKAR AND COMPANY LIMITED,352870.4353848372
869,SBCL,SHIVALIK BIMETAL CONTROLS LIMITED,351672.72664761904
870,MTNL,MAHANAGAR TELEPHONE NIGAM LIMITED,350184
871,SEAMECLTD,SEAMEC LIMITED,349551.2741071429
872,INDOSTAR,INDOSTAR CAPITAL FINANCE LIMITED,349245.71065250796
873,SERVOTECH,SERVOTECH POWER SYSTEMS LIMITED,348747.5728584524
874,ASHIANA,ASHIANA HOUSING LIMITED,345208.7414686428
875,SANDHAR,SANDHAR TECHNOLOGIES LIMITED,344023.3355022539
876,GIPCL,GUJARAT INDUSTRIES POWER COMPANY LIMITED,342490.4291728174
877,DPABHUSHAN,D. P. ABHUSHAN LIMITED,342348.246385
878,EPACK,EPACK DURABLE LIMITED,342070.71579188894
879,SINDHUTRAD,SINDHU TRADE LINKS LIMITED,341124.82000898424
880,BAJAJCON,BAJAJ CONSUMER CARE LIMITED,340552.99345161096
881,SSWL,STEEL STRIPS WHEELS LIMITED,338623.96569126984
882,QUICKHEAL,QUICK HEAL TECHNOLOGIES LIMITED,338255.8818129523
883,NUCLEUS,NUCLEUS SOFTWARE EXPORTS LIMITED,337699.10366715875
884,DELTACORP,DELTA CORP LIMITED,336581.2558765
885,NAVNETEDUL,NAVNEET EDUCATION LIMITED,336175.0492155437
886,TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,336118.66395063495
887,BFUTILITIE,BF UTILITIES LIMITED,333313.8148604126
888,MAHLOG,MAHINDRA LOGISTICS LIMITED,331288.8974882578
889,RPSGVENT,RPSG VENTURES LIMITED,331019.149718377
890,GENSOL,GENSOL ENGINEERING LIMITED,330859.864896607
891,GOLDIAM,GOLDIAM INTERNATIONAL LIMITED,330838.3199769168
892,VPRPL,VISHNU PRAKASH R PUNGLIA LIMITED,328857.56403809524
893,MARINE,MARINE ELECTRICALS (INDIA) LIMITED,326992.61988964287
894,PRAKASH,PRAKASH INDUSTRIES LIMITED,325112.98758503963
895,GEOJITFSL,GEOJIT FINANCIAL SERVICES LIMITED,324903.4596891865
896,GOODLUCK,GOODLUCK INDIA LIMITED,324541.0313987778
897,MAITHANALL,MAITHAN ALLOYS LIMITED,323735.3383411111
898,KITEX,KITEX GARMENTS LIMITED,322758.1722222222
899,SJS,S.J.S. ENTERPRISES LIMITED,321052.14614753984
900,PRECWIRE,PRECISION WIRES INDIA LIMITED,320737.57291535713
901,GTLINFRA,GTL INFRASTRUCTURE LIMITED,318783.35444847617
902,DCAL,DISHMAN CARBOGEN AMCIS LIMITED,317486.14066805155
903,FLAIR,FLAIR WRITING INDUSTRIES LIMITED,316640.7561265
